,Attrition_Flag,Age,Gender,Dependent_Count,Education,Marital_Status,Income,Card_Category,Months_On_Book,Total_Relationship_Count,Months_Inactive,Contacts_Count,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
5,Existing Customer,44.0,M,2,Graduate,Married,$40K - $60K,Blue,36,3,1.0,2.0,4010.0,1247,2763.0,1.376,1088.0,24.0,0.846,0.311
10,Existing Customer,42.0,M,5,Uneducated,Unknown,$120K +,Blue,31,5,3.0,2.0,6748.0,1467,5281.0,0.831,1201.0,42.0,0.68,0.217
14,Existing Customer,57.0,F,2,Graduate,Married,Less than $40K,Blue,48,5,2.0,2.0,2436.0,680,1756.0,1.19,1570.0,29.0,0.611,0.27899999999999997
19,Existing Customer,45.0,F,2,Graduate,Married,Unknown,Blue,37,6,1.0,2.0,14470.0,1157,13313.0,0.966,1207.0,21.0,0.909,0.08
20,Existing Customer,47.0,M,1,Doctorate,Divorced,$60K - $80K,Blue,42,5,2.0,0.0,20979.0,1800,19179.0,0.9059999999999999,1178.0,27.0,0.929,0.086
21,Attrited Customer,62.0,F,0,Graduate,Married,Less than $40K,Blue,49,2,3.0,3.0,1438.3,0,1438.3,1.047,692.0,16.0,0.6,0.0
23,Existing Customer,47.0,F,4,Unknown,Single,Less than $40K,Blue,36,3,3.0,2.0,2492.0,1560,932.0,0.573,1126.0,23.0,0.353,0.626
24,Existing Customer,54.0,M,2,Unknown,Married,$80K - $120K,Blue,42,4,2.0,3.0,12217.0,0,12217.0,1.075,1110.0,21.0,0.75,0.0
25,Existing Customer,41.0,F,3,Graduate,Single,Less than $40K,Blue,28,6,1.0,2.0,7768.0,1669,6099.0,0.797,1051.0,22.0,0.833,0.215
26,Existing Customer,59.0,M,1,High School,Unknown,$40K - $60K,Blue,46,4,1.0,2.0,14784.0,1374,13410.0,0.9209999999999999,1197.0,23.0,1.3,0.09300000000000001
27,Existing Customer,63.0,M,1,Unknown,Married,$60K - $80K,Blue,56,3,3.0,2.0,10215.0,1010,9205.0,0.843,1904.0,40.0,1.0,0.099
29,Existing Customer,47.0,M,4,High School,Married,$40K - $60K,Blue,42,6,0.0,0.0,4785.0,1362,3423.0,0.7390000000000001,1045.0,38.0,0.9,0.285
34,Existing Customer,58.0,M,0,Graduate,Married,$80K - $120K,Blue,49,6,2.0,2.0,12555.0,1696,10859.0,0.519,1291.0,24.0,0.7140000000000001,0.135
